kf, mse, mae, mape, r2, acc, bal_acc
1,0.0010698216997214421,0.024521469390313765,0.036813164264688836,0.33195779277935167,0.6,0.5
1,0.0006851599611211152,0.01940617881116944,0.02869860186295507,0.5721569558312918,0.6,0.6666666666666666
1,0.0005710851465362109,0.020461560312323025,0.0301082022532355,0.6433901257543063,0.8,0.8333333333333334
1,0.0005387740444080214,0.01819683245412602,0.026186860548726675,0.6635665532740209,0.6,0.6666666666666666
1,0.0005338099062032386,0.017699695650152614,0.025707277625499292,0.6666663724720563,0.8,0.8333333333333334
2,0.0015623005317453513,0.03162894784835209,0.04431737308256363,0.5786248225314654,0.8,0.8333333333333334
2,0.0008415970719006209,0.023932068938287386,0.033802016706418345,0.7730090284658969,0.8,0.8333333333333334
2,0.001156246882275134,0.028543394202264438,0.041720218099514116,0.6881433979467286,0.6,0.6666666666666666
2,0.0024080015031006418,0.042169089335473656,0.0632788159270028,0.35052696962218133,0.4,0.3333333333333333
2,0.0009281920191532515,0.023925389193566925,0.034923406094774276,0.7496531116464286,0.8,0.8333333333333334
3,0.0009926434666826449,0.024108208964013646,0.03535855556409495,0.34331246218225475,0.6,0.6666666666666666
3,0.0008122761179041761,0.02090955545172728,0.030989625207385785,0.46263525445114795,0.8,0.8333333333333334
3,0.0008453657576226274,0.023133285539007554,0.03385375682322711,0.44074466154108227,0.6,0.5
3,0.0012565035289237925,0.025026180098199437,0.03704088265900247,0.16875470764361233,0.6,0.6666666666666666
3,0.0011170157181294718,0.024817092912054427,0.03661343166937426,0.26103346643324254,0.6,0.6666666666666666
4,0.0010206229424156949,0.02795493711431274,0.04037063098963607,0.6535717830471,0.6,0.6666666666666666
4,0.0013243031099137899,0.028394318713739007,0.03993036433205187,0.5504941678199533,0.8,0.8333333333333334
4,0.0007766711393205802,0.021834553374841303,0.031239641902042647,0.736375906545104,0.8,0.8333333333333334
4,0.0016113176033924902,0.03230080713231811,0.04624509898460011,0.45307335246954883,0.6,0.6666666666666666
4,0.0011877386766381216,0.028261138095452876,0.04027010476262331,0.596847988758856,0.6,0.5
5,0.0007274388708952718,0.023843265148889216,0.03509561147904773,0.5900240925068068,0.6,0.6666666666666666
5,0.00043026203719156314,0.017643838047277826,0.02629166883413784,0.7575094262691981,0.6,0.5
5,0.00034084703939438307,0.015610683533441217,0.02331341572612416,0.8079026570025039,0.8,0.8333333333333334
5,0.0003316390904966673,0.015845072838555962,0.023280057916538997,0.8130921476339928,0.8,0.8333333333333334
5,0.0003043708408623564,0.015024281117211968,0.02217294093702173,0.828460209249698,0.6,0.6666666666666666
6,0.0013025292119166923,0.03123319115903318,0.045211121057156675,0.1654226085454188,0.4,0.5
6,0.0014266463351928983,0.03169568743970334,0.0459668029526324,0.08589629617483097,0.4,0.3333333333333333
6,0.0006204006856383905,0.022554051544927955,0.0332356826465466,0.6024869299362497,0.4,0.3333333333333333
6,0.00094364011030519,0.02616489214544069,0.038794808520763044,0.3953757854140253,0.4,0.3333333333333333
6,0.0010917284251504814,0.0294052359130615,0.04325919583905158,0.3004902670104713,0.4,0.3333333333333333
7,0.0011294923145203112,0.024273543926123065,0.03781465765168086,0.0923106615762781,0.6,0.6666666666666666
7,0.0016101115719187886,0.036525510027270516,0.056218910964611256,-0.2939274475046134,0.4,0.5
7,0.0018573817660624396,0.03767232723460694,0.05877591628361569,-0.4926401930884343,0.4,0.5
7,0.0013082523423817174,0.02716437453830567,0.04240215569180624,-0.051345536292616956,0.6,0.6666666666666666
7,0.0009925000437756913,0.026719675733905036,0.041344348065508366,0.20240120579937593,0.4,0.5
8,0.0006666191465217995,0.016300986366284142,0.023270348014680673,0.6882599767846886,0.8,0.6666666666666666
8,0.0008366160310229693,0.02257022036105343,0.032891303352400585,0.608762061074594,0.6,0.5
8,0.0005444535189735231,0.021803169015850842,0.03249339766459686,0.7453899223716436,0.8,0.8333333333333334
8,0.0006360681171606992,0.01640098465472408,0.02327613393957971,0.7025469630675971,0.6,0.5
8,0.0005009008980501135,0.020568875203430138,0.03044941976897734,0.7657570167291823,0.6,0.6666666666666666
